Fichero actualizado a fecha: 2019-03-07 03:11:01
Título;Descripción;Tag;FechaCreacion;FechaUltimaActualizacion;Frecuencia de actualización;Sector;Organismo responsable;AmbitoGeografico;Licencia;Formatos disponibles para descarga;EnlaceMasInformacion;Identificador;ultimaActualizacion;Enlace al contenido;
"Mapa Topográfico de Castilla y León 1:10.000: Cubierta Terrestre - lineas";"<p>Capa de cobertura terrestre del Mapa Topográfico de Castilla y León 1:10.000 con geometría de lineas.Mapa que aglutina todas las entidades geográficas de tipo lineal pertenecientes al tema de cubierta terrestre y uso del suelo (según modelo de datos de elaboración de la cartografía), que aparecen recogidas en las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:10.000.Se representa el uso aparente del suelo mediante líneas que identifican la separación o cambio de uso (no de propiedad).</p>";"Cubierta terrestre";"20040930";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688166725;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-10000-cubierta-terrestre-lineas/1284688166725";
"Mapa Topográfico de Castilla y León 1:10.000: Cubierta Terrestre - puntos";"<p>Capa de cobertura terrestre del Mapa Topográfico de Castilla y León 1:10.000 con geometría de puntos.Mapa de entidades geográficas de tipo puntual formada por agregación de todos los puntos identificativos que asignan un uso al suelo en base al parcelario aparente que se extrae de las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:10.000. Se registra y codifica cualquier tipo de utilización del terreno que suponga un cambio en el uso, y sea perceptible a partir de los vuelos fotogramétricos realizados para la elaboración de la propia cartografía (junto una posterior verificación y control). En este sentido, un cambio en el parcelario aparente introduce un cambio en el uso del suelo.</p>";"Cubierta terrestre";"20040930";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688168122;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-10000-cubierta-terrestre-puntos/1284688168122";
"Mapa Topográfico de Castilla y León 1:10.000: Edificaciones y Construcciones - lineas";"<p>Capa de edificaciones y construcciones del Mapa Topográfico de Castilla y León 1:10.000 con geometría de lineas.Mapa que aglutina todas las entidades geográficas de tipo lineal pertenecientes al tema edificaciones/construccionesedificaciones/construcciones (según modelo de datos de elaboración de la cartografía), que aparecen recogidas en las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:10.000. Recopila todos los elementos constructivos y de la edificación, estableciendo una organización y clasificación según tipología constructiva. Se recogen, entre otros, diversos tipos de cerramiento, como alambradas, muros, vallas, verjas,... líneas de separación, como líneas de división de altura, lindes,..., distintos tipos de edificaciones: en construcción, en ruina, públicos, etc., así como otros muchos elementos constructivos y del mobiliario urbano, de acuerdo con la escala de la cartografía.</p>";"Edificios";"20040930";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688170237;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-10000-edificaciones-construcciones-lineas/1284688170237";
"Mapa Topográfico de Castilla y León 1:10.000: Edificaciones y Construcciones - puntos";"<p>Capa de edificaciones y construcciones del Mapa Topográfico de Castilla y León 1:10.000 con geometría de puntos.Mapa que aglutina todas las entidades geográficas de tipo puntual pertenecientes al tema edificaciones/construcciones (según modelo de datos de elaboración de la cartografía), que aparecen recogidas en las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:10.000.Se registran principalmente patios aunque también otros elementos que han sido construidos por el hombre tales como minas, canteras, bodegas, etc. cuya captura y localización a escala de la cartografía (1:10.000) es realizada por medio de un punto.</p>";"Edificios";"20040930";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688188002;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-10000-edificaciones-construcciones-puntos/1284688188002";
"Mapa Topográfico de Castilla y León 1:10.000: Nombres geográficos - puntos";"<p>Capa de toponimia del Mapa Topográfico de Castilla y León 1:10.000 sobre geometría de puntos.Mapa que aglutina, a partir de entidades de tipo punto, toda la información toponímica presente en cada una de las hojas mapa de la serie Mapa Topográfico de Castilla y León 1:10.000.Se recopilan todos los nombres geográficos o topónimos que caracterizan el espacio Castellano y Leonés a escala 1:10.000.</p>";"Nombres geográficos";"20040930";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688326135;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-10000-nombres-geograficos-puntos/1284688326135";
"Mapa Topográfico de Castilla y León 1:10.000: Servicios e instalaciones - lineas";"<p>Capa de servicios e instalaciones del Mapa Topográfico de Castilla y León 1:10.000 con geometría de lineas.Mapa que aglutina todas las entidades geográficas de tipo lineal catalogadas como instalaciones y equipamiento de uso público (según modelo de datos de elaboración de la cartografía), que se recogen en las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:10.000.Recopila todas aquellas instalaciones y dotaciones orientadas a la prestación de servicios de utilidad pública (no recogidas en ninguno de los otros temas del modelo de datos) como son tendidos, conducciones, etc., así como toda la infraestructura asociada o relacionada.</p>";"Servicios de utilidad pública y estatales";"20040930";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688335045;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-10000-servicios-instalaciones-lineas/1284688335045";
"Mapa Topográfico de Castilla y León 1:10.000: Servicios e instalaciones - puntos";"<p>Capa de servicios e instalaciones del Mapa Topográfico de Castilla y León 1:10.000 con geometría de puntos.Mapa formado por entidades geométricas de tipo puntual catalogadas como instalaciones y equipamiento de uso público (según modelo de datos de elaboración de la cartografía), que se recogen en las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:10.000.Recopila todas aquellas instalaciones y dotaciones orientadas a la prestación de servicios de utilidad pública que, por sus características concretas, requiere ser representado como elementos puntuales, y que viene, generalmente, a complementar a la capa homóloga de líneas existente: \""Mapa Topográfico de Castilla y León 1:10.000: Servicios e instalaciones - lineas\"".</p>";"Servicios de utilidad pública y estatales";"20040930";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688336261;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-10000-servicios-instalaciones-puntos/1284688336261";
"Mapa Topográfico de Castilla y León 1:5.000: Redes de transporte - polígonos";"<p>Capa de redes de transporte del Mapa Topográfico de Castilla y León 1:5.000 con geometría de polígonos.Mapa de entidades geográficas superficiales adscritas al tema de la red de transportes (según modelo de datos de elaboración de la cartografía), procedente de las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:5.000. Formada por agregación de todas los recintos poligonales que componen los diferentes viales.Se incluyen todos aquellos recintos poligonales que forman calles, carreteras, autopistas, autovías, caminos y vías pecuarias. Los cruces entre carreteras se resuelven con cierres en diagonal para evitar la duplicación de poligonos en el cruce. En el caso de los caminos se recoge como polígono cuando tenga un ancho superior a los 3 metros.</p>";"Redes de transporte";"20100625";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688381958;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-5000-redes-transporte-poligonos/1284688381958";
"Mapa Topográfico de Castilla y León 1:10.000: Redes de transporte - lineas";"<p>Capa de redes de transporte del Mapa Topográfico de Castilla y León 1:10.000 con geometría de lineas.Mapa que aglutina todas las entidades geográficas de tipo lineal pertenecientes al tema de vías de comunicación y redes de transportes (según modelo de datos de elaboración de la cartografía), que aparecen recogidas en las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:10.000.Se recopila todos los elementos pertenecientes a la red viaria como a la red ferroviaria, así como las dotaciones asociadas a aquellas, estableciéndose una clasificación jerarquizada de acuerdo a sus características tipológicas, de titularidad, estado, etc.</p>";"Redes de transporte";"20040930";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688331553;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-10000-redes-transporte-lineas/1284688331553";
"Mapa Topográfico de Castilla y León 1:5.000: Cubierta Terrestre - lineas";"<p>Capa de cobertura terrestre del Mapa Topográfico de Castilla y León 1:5.000 con geometría de lineas.Mapa que aglutina, mediante entidades geométricas de tipo lineal, cualquier fenómeno perteneciente al tema de cubierta terrestre y uso del suelo (según modelo de datos de elaboración de la cartografía), que aparecen recogidos en las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:5.000.Son codificadas y representadas cartográficamente las líneas de separación de usos de suelo así como aquellas que delimitan recintos de extracción y/o vertido. Se recoge sobre el terreno la línea que separa los diferentes usos de suelo, siempre que esta no sea coincidente con otra línea codificada en el modelo de datos. Las líneas de contorno de extracción o vertido, forman el polígono de la misma clasificación.</p>";"Cubierta terrestre";"20100625";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688347339;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-5000-cubierta-terrestre-lineas/1284688347339";
"Mapa Topográfico de Castilla y León 1:5.000: Cubierta Terrestre - textos";"<p>Capa de toponimia de cubierta terrestre del Mapa Topográfico de Castilla y León 1:5.000.Mapa de entidades geométricas de tipo \""ArcGIS annotation\""Formada por agregación de los textos de cubierta terrestre recogidos en cada una de las hojas de mapa que componen la serie Mapa Topográfico de Castilla y León 1:5.000.</p>";"Cubierta terrestre";"20100625";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688350133;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-5000-cubierta-terrestre-textos/1284688350133";
"Mapa Topográfico de Castilla y León 1:5.000: Edificaciones y Construcciones - lineas";"<p>Capa de edificaciones y construcciones del Mapa Topográfico de Castilla y León 1:5.000 con geometría de lineas.Mapa de entidades geográficas de tipo lineal, referida al tema de la edificación y la construcción (según modelo de datos de elaboración de la cartografía). Formada por agregación de la información existente en las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:5.000.Recoge las líneas de las edificaciones y las construcciones, tanto para aquellos casos que conforman los diferentes recintos poligonales de los edificios y zonas de obras, como en aquellos casos en los que estos fenómenos se encuentran exentos a modo de cerramiento.</p>";"Edificios";"20100625";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688350533;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-5000-edificaciones-construcciones-lineas/1284688350533";
"Mapa Topográfico de Castilla y León 1:5.000: Edificaciones y Construcciones - puntos";"<p>Capa de edificaciones y construcciones del Mapa Topográfico de Castilla y León 1:5.000 con geometría de puntos.Mapa de elementos puntuales resultante de la agregación de todas las entidades geográficas pertenecientes al tema de la edificación y la construcción (según modelo de datos de elaboración de la cartografía) contempladas en las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:5.000.Recopila cualquier clase de obra constructiva, del tipo depósito, silo, chimenea, monumento o grúa que, por sus reducidas dimensiones, exige ser capturado como fenómenos puntuales.</p>";"Edificios";"20100625";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688351342;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-5000-edificaciones-construcciones-puntos/1284688351342";
"Mapa Topográfico de Castilla y León 1:5.000: Edificaciones y Construcciones - textos";"<p>Capa de toponimia de edificaciones y construcciones del Mapa Topográfico de Castilla y León 1:5.000.Mapa de entidades geométricas de tipo \""ArcGIS annotation\""Formada por agregación de los textos de las edificaciones y las construcciones recogidos en cada una de las hojas de mapa que componen la serie Mapa Topográfico de Castilla y León 1:5.000.</p>";"Edificios";"20100625";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688351950;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-5000-edificaciones-construcciones-textos/1284688351950";
"Mapa Topográfico de Castilla y León 1:5.000: Puntos de referencia - textos";"<p>Capa de toponimia de puntos de referencia del Mapa Topográfico de Castilla y León 1:5.000.Capa de entidades geométricas de tipo \""ArcGIS annotation\""Formada por agregación de los puntos de referencia recogidos en cada una de las hojas de mapa que componen la serie Mapa Topográfico de Castilla y León 1:5.000.</p>";"Sistemas de coordenadas de referencia";"20100625";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688372248;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-5000-puntos-referencia-textos/1284688372248";
"Mapa Topográfico de Castilla y León 1:5.000: Servicios e instalaciones - lineas";"<p>Capa de servicios e instalaciones del Mapa Topográfico de Castilla y León 1:5.000 con geometría de lineas.Mapa de entidades geográficas de tipo lineal, formada por agregación de todas las conducciones y líneas que delimitan espacios dotacionales del tema \""Servicios e instalaciones\"" (según modelo de datos de elaboración de la cartografía), que aparecen recogidas en las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:5.000. Además de la información habitual referida a los servicios y las instalaciones de uso o disfrute público, incluye las construcciones aéreas o subterráneas destinadas al transporte y a la distribución de un fluido, o para las telecomunicaciones. Incluye también las líneas que delimitan dotaciones como es el caso de los campos de deportes.</p>";"Servicios de utilidad pública y estatales";"20100625";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688424369;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-5000-servicios-instalaciones-lineas/1284688424369";
"Mapa Topográfico de Castilla y León 1:5.000: Servicios e instalaciones - puntos";"<p>Capa de servicios e instalaciones del Mapa Topográfico de Castilla y León 1:5.000 con geometría de puntos.Formada por agregación de todos los fenómenos puntuales del grupo torre, poste, transformador que son recogidos en cada una de las hojas de mapa que componen la serie Mapa Topográfico de Castilla y León 1:5.000.Se incluyen en esta capa las antenas, las torres de vigilancia contra incendios, las torres del tendido eléctrico, los transformadores, los aerogeneradores y las placas solares. En esta capa se recogeran estos fenómenos de forma puntual siempre que su lado o diámetro no sea superior a los 3 metros.</p>";"Servicios de utilidad pública y estatales";"20100625";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688428105;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-5000-servicios-instalaciones-puntos/1284688428105";
"Mapa Topográfico de Castilla y León 1:5.000: Servicios e instalaciones - textos";"<p>Capa de toponimia de servicios e instalaciones del Mapa Topográfico de Castilla y León 1:5.000.Capa de entidades geométricas de tipo \""ArcGIS annotation\""Capa formada por agregación de todas las signaturas de espacios urbanos o dotacionales que recogidas en cada una de las hojas de mapa que componen la serie Mapa Topográfico de Castilla y León 1:5.000.</p>";"Servicios de utilidad pública y estatales";"20100625";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688428316;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-5000-servicios-instalaciones-textos/1284688428316";
"Mapa Topográfico de Castilla y León 1:5.000: Unidades Administrativas - polígonos";"<p>Capa de unidades administrativas del Mapa Topográfico de Castilla y León 1:5.000 con geometría de polígonos.Mapa formado por agregación de todos los recintos poligonales que conforman la división del territorio establecidas por la administración y que han sido recogidas en cada una de las hojas de mapa que componen la serie Mapa Topográfico de Castilla y León 1:5.000.Las líneas de límite de Nación se utilizarán para formar el polígono de Comunidad Autónoma, las líneas de Comunidad Autónoma para formar el polígono de Provincia, y así sucesivamente, por lo que no hara falta duplicar las líneas coincidentes de límites administrativos.</p>";"Unidades administrativas";"20100625";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688437146;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-5000-unidades-administrativas-poligonos/1284688437146";
"Mapa Topográfico de Castilla y León 1:5.000: Unidades Administrativas - lineas";"<p>Capa de unidades administrativas del Mapa Topográfico de Castilla y León 1:5.000 con geometría de lineas.Mapa formado por agregación de todas las líneas de división del territorio establecidas por la administración y que han sido recogidas en cada una de las hojas de mapa que componen la serie Mapa Topográfico de Castilla y León 1:5.000 Las líneas que conforman los límites administrativos se generan en el proceso de edición, asignando una altitud a los puntos de las líneas que no difiera a 2,5 metros a lo correspondiente del terreno.</p>";"Unidades administrativas";"20100625";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688435619;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-5000-unidades-administrativas-lineas/1284688435619";
"Mapa Topográfico de Castilla y León 1:5.000: Unidades Administrativas - textos";"<p>Capa de toponimia de unidades administrativas del Mapa Topográfico de Castilla y León 1:5.000.Mapa de entidades geométricas de tipo \""ArcGIS annotation\""Formada por agregación de los textos pertenecientes a las distintas divisiones administrativas territoriales recogidas en las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:5.000.</p>";"Unidades administrativas";"20100625";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688438904;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-5000-unidades-administrativas-textos/1284688438904";
"Mapa Topográfico de Castilla y León 1:5.000: Redes de transporte - lineas";"<p>Capa de redes de transporte del Mapa Topográfico de Castilla y León 1:5.000 con geometría de lineas.Mapa de líneas que aglutina los diferentes fenómenos que componen la red de transportes (según modelo de datos de elaboración de la cartografía), que aparecen recogidas en las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:5.000.Recopila los diferentes viales, incluyéndose márgenes pavimentados así como los ejes de los diferentes viales. Se capturan además los sistemas de transporte por cable y ferrocarril así como los fenómenos lineales de las construcciones que permiten el cruce a diferentes niveles de viales, ferrocarriles, canalizaciones, cursos fluviales y desages.</p>";"Redes de transporte";"20100625";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688379522;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-5000-redes-transporte-lineas/1284688379522";
"Mapa Topográfico de Castilla y León 1:5.000: Redes de transporte - puntos";"<p>Capa de redes de transporte del Mapa Topográfico de Castilla y León 1:5.000 con geometría de puntos.Mapa que, sobre geometría de elementos puntuales, agrega todas las bocas de alcantarillado y puntos kilométricos recogidos en las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:5.000. Permite complementar a la red de transportes de elementos lineales.Se incluye en esta capa las alcantarillas, consideradas como construcciones de pequeñas dimensiones destinadas al paso de cursos fluviales, canalizaciones y desages bajo los viales. Además en esta capa se recogen los puntos kilométricos corerspondientes a viales y ferrocarriles.</p>";"Redes de transporte";"20100625";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688383918;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-5000-redes-transporte-puntos/1284688383918";
"Mapa Topográfico de Castilla y León 1:5.000: Redes de transporte - textos";"<p>Capa de toponimia del tema de transporte del Mapa Topográfico de Castilla y León 1:5.000.Mapa de entidades geométricas de tipo \""ArcGIS annotation\""Formada por agregación de los textos de la red de transportes que se recogen en las hojas de mapa que componen la serie Mapa Topográfico de Castilla y León 1:5.000.</p>";"Redes de transporte";"20100625";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688384998;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-5000-redes-transporte-textos/1284688384998";
"Mapa Topográfico de Castilla y León 1:10.000: Altimetria - lineas";"<p>Capa de altimetria del Mapa Topográfico de Castilla y León 1:10.000 con geometría de lineas.Mapa que aglutina todas las entidades geográficas de tipo lineal pertenecientes al tema de la altimetría (según modelo de datos de elaboración de la cartografía), que aparecen recogidas en las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:10.000. Recopila, principalmente, curvas de nivel*, y residualmente también cualquier otra información altimétrica auxiliar, como escarpes, taludes, terraplenes, desmontes, etc., representables a la escala de la cartografía.Equidistancia de curvas de 10 metros y de 5 metros en zonas llanas (porcentaje de pendiente inferior a 12,5%).</p>";"Elevaciones";"20040930";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688162974;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-10000-altimetria-lineas/1284688162974";
"Mapa Topográfico de Castilla y León 1:10.000: Altimetria - puntos";"<p>Capa de altimetría del Mapa Topográfico de Castilla y León 1:10.000 con geometría de puntos. Mapa de entidades geográficas de tipo puntual formada por agregación de todos los puntos de cota que se recogen en las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:10.000. Representación altimétrica del terreno a partir de valores puntuales expresados en metros.</p>";"Elevaciones";"20040930";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688165384;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-10000-altimetria-puntos/1284688165384";
"Mapa Topográfico de Castilla y León 1:10.000: Hidrografía - lineas";"<p>Capa de hidrografía del Mapa Topográfico de Castilla y León 1:10.000 con geometría de lineas.Mapa que aglutina todas las entidades geográficas de tipo lineal pertenecientes al tema de la hidrografía (según modelo de datos de elaboración de la cartografía), que aparecen recogidas en las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:10.000.Se recopila y representa la red hidrográfica: ríos y arroyos, líneas de embalse. de lagos, lagunas, charcas y fuentes, así como cualquier otro tipo de recurso de carácter hídrico como acequias, esclusas, desages, arquetas, alcantarillas, etc.</p>";"Hidrografía";"20040930";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688189537;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-10000-hidrografia-lineas/1284688189537";
"Mapa Topográfico de Castilla y León 1:10.000: Hidrografía - puntos";"<p>Capa de hidrografía del Mapa Topográfico de Castilla y León 1:10.000 con geometría de puntos.Mapa formado por agregación de todos los recursos hídricos e infraestructura hidráulica, capturados como objetos de tipo punto, que se recogen en cada una de las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:10.000.Se recopilan y representan fuentes, manantiales y pozos, así como cualquier otro tipo de recurso de carácter hidráulico como arquetas, alcantarillas, sifones, etc.</p>";"Hidrografía";"20040930";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688199962;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-10000-hidrografia-puntos/1284688199962";
"Mapa Topográfico de Castilla y León 1:10.000: Puntos de referencia - puntos";"<p>Capa de puntos de referencia del Mapa Topográfico de Castilla y León 1:10.000 con geometría de puntos.Capa de entidades geográficas de tipo puntual formada por agregación de todos los puntos de referencia que se recogen en las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:10.000.Se recopilan aquellos puntos, contemplados en el modelo de datos, de los que se tiene constancia y precisa referenciación geográfica en X,Y,Z, con el objetivo de que puedan servir de soporte o marco de referencia de multitud de trabajos en el establecimiento de determinados parámetros de fiabilidad. Son, por norma general, elementos estables y estáticos en el espacio y en el tiempo, y suelen caracterizarse por ser visibles y fácilmente identificables desde la distancia.</p>";"Sistemas de coordenadas de referencia";"20040930";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688330196;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-10000-puntos-referencia-puntos/1284688330196";
"Mapa Topográfico de Castilla y León 1:5.000: Altimetria - lineas";"<p>Capa de altimetria del Mapa Topográfico de Castilla y León 1:5.000 con geometría de lineas.Mapa que aglutina todas las entidades geométricas de tipo lineal pertenecientes al tema \""Altimetría\"" (según modelo de datos de elaboración de la cartografía), que aparecen recogidas en las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:5.000.Recopila, principalmente, curvas de nivel, además de cualquier otra información altimétrica auxiliar, del tipo escarpe, terraplén, desmonte, etc., representables a la escala de la cartografía.Equidistancia de curvas de 5 metros y de 2,5 metros en zonas llanas (porcentaje de pendiente inferior a 12,5%).Las líneas de talud son recogidas siguiendo la línea que los delimita en el terreno, siendo capturadas cuando son necesarias para complementar a las curvas de nivel.</p>";"Elevaciones";"20100625";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688344023;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-5000-altimetria-lineas/1284688344023";
"Mapa Topográfico de Castilla y León 1:5.000: Altimetria - polígonos";"<p>Capa de altimetria del Mapa Topográfico de Castilla y León 1:5.000 con geometría de polígonos.Mapa que aglutina todos los elementos geogáficos pertenecientes al tema de altimetría (según modelo de datos de elaboración de la cartografía) que se recogen como entidades geométricas de tipo superficial en las hojas de mapa de la serie Mapa Topográfico de Castilla y León 1:5.000.Recopila principalmente taludes catalogados según sus características, ya sean artificiales o naturales. El talud artificial es el desmonte o terraplén. El talud natural es el escarpado, pudiendo ser este de tierra o de roca.</p>";"Elevaciones";"20100625";;"No programado";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284688344963;20180906;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/topografico-5000-altimetria-poligonos/1284688344963";
